batch_characters,iteration,model,latency_ns
1,0,dense,237100
1,0,structured_50,488500
1,1,structured_50,229700
1,1,dense,212700
1,2,dense,176400
1,2,structured_50,161600
1,3,structured_50,156400
1,3,dense,175200
1,4,dense,168600
1,4,structured_50,157900
1,5,structured_50,155600
1,5,dense,205500
1,6,dense,176400
1,6,structured_50,177800
1,7,structured_50,162200
1,7,dense,174300
1,8,dense,172600
1,8,structured_50,158000
1,9,structured_50,154500
1,9,dense,170700
1,10,dense,168100
1,10,structured_50,156700
1,11,structured_50,174700
1,11,dense,182900
1,12,dense,171100
1,12,structured_50,158200
1,13,structured_50,155500
1,13,dense,168000
1,14,dense,165600
1,14,structured_50,157300
1,15,structured_50,154900
1,15,dense,166200
1,16,dense,165200
1,16,structured_50,156000
1,17,structured_50,166300
1,17,dense,183400
1,18,dense,171800
1,18,structured_50,160300
1,19,structured_50,154800
1,19,dense,171300
1,20,dense,172400
1,20,structured_50,164500
1,21,structured_50,389700
1,21,dense,267200
1,22,dense,181400
1,22,structured_50,167900
1,23,structured_50,158400
1,23,dense,171000
1,24,dense,168400
1,24,structured_50,159500
1,25,structured_50,155300
1,25,dense,167600
1,26,dense,194500
1,26,structured_50,165200
1,27,structured_50,160800
1,27,dense,168400
1,28,dense,167400
1,28,structured_50,158000
1,29,structured_50,154900
1,29,dense,167200
1,30,dense,167200
1,30,structured_50,156700
1,31,structured_50,154300
1,31,dense,166900
1,32,dense,188500
1,32,structured_50,167800
1,33,structured_50,156000
1,33,dense,168500
1,34,dense,166100
1,34,structured_50,159300
1,35,structured_50,154800
1,35,dense,167100
1,36,dense,164700
1,36,structured_50,153800
1,37,structured_50,154600
1,37,dense,166100
1,38,dense,183600
1,38,structured_50,166600
1,39,structured_50,157300
1,39,dense,167800
1,40,dense,166200
1,40,structured_50,156400
1,41,structured_50,153900
1,41,dense,165600
1,42,dense,168100
1,42,structured_50,157100
1,43,structured_50,159300
1,43,dense,168600
1,44,dense,179700
1,44,structured_50,174300
1,45,structured_50,158900
1,45,dense,169300
1,46,dense,168900
1,46,structured_50,157400
1,47,structured_50,178800
1,47,dense,204800
1,48,dense,190600
1,48,structured_50,166600
1,49,structured_50,165500
1,49,dense,248900
1,50,dense,390200
1,50,structured_50,304000
1,51,structured_50,181100
1,51,dense,223600
1,52,dense,607900
1,52,structured_50,311300
1,53,structured_50,202200
1,53,dense,185100
1,54,dense,190100
1,54,structured_50,176800
1,55,structured_50,162900
1,55,dense,172900
1,56,dense,226500
1,56,structured_50,168700
1,57,structured_50,159400
1,57,dense,173900
1,58,dense,184700
1,58,structured_50,158900
1,59,structured_50,155800
1,59,dense,170000
1,60,dense,168200
1,60,structured_50,161200
1,61,structured_50,158100
1,61,dense,184100
1,62,dense,214100
1,62,structured_50,163400
1,63,structured_50,158700
1,63,dense,170200
1,64,dense,170000
1,64,structured_50,160500
1,65,structured_50,158700
1,65,dense,171000
1,66,dense,171700
1,66,structured_50,157000
1,67,structured_50,154300
1,67,dense,189900
1,68,dense,178300
1,68,structured_50,163400
1,69,structured_50,156700
1,69,dense,169100
1,70,dense,168700
1,70,structured_50,157800
1,71,structured_50,154400
1,71,dense,168100
1,72,dense,166900
1,72,structured_50,156600
1,73,structured_50,154300
1,73,dense,187000
1,74,dense,179100
1,74,structured_50,164800
1,75,structured_50,156900
1,75,dense,169900
1,76,dense,166000
1,76,structured_50,157600
1,77,structured_50,155000
1,77,dense,168300
1,78,dense,167500
1,78,structured_50,157100
1,79,structured_50,155600
1,79,dense,182500
1,80,dense,329600
1,80,structured_50,376700
1,81,structured_50,646200
1,81,dense,409500
1,82,dense,291500
1,82,structured_50,183700
1,83,structured_50,164700
1,83,dense,173600
1,84,dense,172300
1,84,structured_50,162700
1,85,structured_50,156800
1,85,dense,171500
1,86,dense,169100
1,86,structured_50,159800
1,87,structured_50,156300
1,87,dense,169000
1,88,dense,197700
1,88,structured_50,166200
1,89,structured_50,158200
1,89,dense,170100
1,90,dense,169400
1,90,structured_50,159700
1,91,structured_50,156800
1,91,dense,167800
1,92,dense,168000
1,92,structured_50,157200
1,93,structured_50,418600
1,93,dense,240900
1,94,dense,184500
1,94,structured_50,169800
1,95,structured_50,162000
1,95,dense,172900
1,96,dense,172500
1,96,structured_50,161400
1,97,structured_50,160000
1,97,dense,204700
1,98,dense,177500
1,98,structured_50,162300
1,99,structured_50,158900
1,99,dense,170000
1,100,dense,168900
1,100,structured_50,159000
1,101,structured_50,157300
1,101,dense,170100
1,102,dense,170600
1,102,structured_50,157500
1,103,structured_50,155900
1,103,dense,196200
1,104,dense,175800
1,104,structured_50,162300
1,105,structured_50,157900
1,105,dense,169500
1,106,dense,167900
1,106,structured_50,164500
1,107,structured_50,157600
1,107,dense,168700
1,108,dense,168500
1,108,structured_50,181700
1,109,structured_50,184300
1,109,dense,181000
1,110,dense,185400
1,110,structured_50,179700
1,111,structured_50,522300
1,111,dense,203300
1,112,dense,184700
1,112,structured_50,202200
1,113,structured_50,204600
1,113,dense,184300
1,114,dense,164600
1,114,structured_50,152000
1,115,structured_50,146400
1,115,dense,161900
1,116,dense,159700
1,116,structured_50,148300
1,117,structured_50,145200
1,117,dense,158400
1,118,dense,157400
1,118,structured_50,157700
1,119,structured_50,166600
1,119,dense,164900
1,120,dense,159700
1,120,structured_50,149000
1,121,structured_50,147000
1,121,dense,157800
