source,type,expected,predicted,characters,correct_characters,character_accuracy,exact,row_count,perspective_corrected,angle_deg,blur_score,macs_this_plate
one_row/7_3605_1_36A43147_186_242_496_288.jpg,one_row,36A43147,36A43147,8,8,1.0,True,1,True,0.0,1068.448,3349632
two_rows_label_xe_may/7_1464_0_15F106136_402_18_575_155.jpg,two_row_motorcycle,15F106136,15F106136,9,9,1.0,True,2,False,0.0,3175.561,3768336
one_row/1_4332_1_36N3565_25_221_577_289.jpg,one_row,36N3565,36N3565,7,7,1.0,True,1,False,0.0,2036.355,2930928
one_row/1_3218_1_36A38594_12_166_617_256.jpg,one_row,36A38594,36A38594,8,8,1.0,True,1,False,0.0,1083.063,3349632
one_row/5_2477_1_36A23371_113_201_526_269.jpg,one_row,36A23371,36A23371,8,8,1.0,True,1,False,0.0,1591.677,3349632
two_rows_label_xe_may/4_780_0_17M81352_401_18_532_138.jpg,two_row_motorcycle,17M81352,17MB1352,8,7,0.875,False,2,False,0.0,4463.544,3349632
two_rows/9_151_0_36A10634_97_302_152_375.jpg,two_row_car,36A10634,103663A4,8,1,0.125,False,1,True,0.0,2205.757,3349632
two_rows_label_xe_may/8_2867_0_29c112212_390_172_522_283.jpg,two_row_motorcycle,29C112212,29C112212,9,9,1.0,True,2,False,0.0,2863.416,3768336
one_row/6_3290_1_36C11223_123_228_538_322.jpg,one_row,36C11223,36C11223,8,8,1.0,True,1,True,0.0,429.064,3349632
two_rows/6_239_0_36A01295_390_251_460_313.jpg,two_row_car,36A01295,36A01295,8,8,1.0,True,2,False,0.0,5436.593,3349632
two_rows_label_xe_may/6_2202_0_30m91151_271_56_416_164.jpg,two_row_motorcycle,30M91151,10111319,8,2,0.25,False,1,True,0.0,1277.12,3349632
one_row/7_4534_1_36C29056_111_174_535_251.jpg,one_row,36C29056,36C29056,8,8,1.0,True,1,True,0.0,1454.573,3349632
two_rows/8_676_0_36C08967_157_393_194_433.jpg,two_row_car,36C08967,36C08962,8,7,0.875,False,2,False,0.0,5945.603,3349632
two_rows/3_964_0_36B02231_122_293_162_333.jpg,two_row_car,36B02231,36B02231,8,8,1.0,True,2,False,0.0,7310.979,3349632
one_row/4_2912_1_36C13492_134_197_555_288.jpg,one_row,36C13492,36C13492,8,8,1.0,True,1,True,0.0,978.745,3349632
one_row/2_1578_1_36M2942_9_170_629_275.jpg,one_row,36M2942,636M292,7,1,0.14285714285714285,False,1,True,0.0,687.945,2930928
two_rows_label_xe_may/8_3216_0_29v147439_416_157_544_272.jpg,two_row_motorcycle,29V147439,29V147439,9,9,1.0,True,2,False,0.0,4090.818,3768336
one_row/1_4020_1_36C25854_38_228_607_384.jpg,one_row,36C25854,36C25854,8,8,1.0,True,1,False,0.0,317.223,3349632
one_row/5_2879_1_36A41392_89_140_531_217.jpg,one_row,36A41392,36A41392,8,8,1.0,True,1,True,0.0,2677.58,3349632
two_rows_label_xe_may/4_668_0_99G112852_373_43_545_176.jpg,two_row_motorcycle,99G112852,99G152852,9,8,0.8888888888888888,False,2,True,0.0,2570.191,3768336
one_row/4_1963_1_36A22876_40_166_624_291.jpg,one_row,36A22876,36A22876,8,8,1.0,True,1,True,0.0,712.296,3349632
one_row/5_4143_1_36N3244_26_220_553_318.jpg,one_row,36N3244,36N3244,7,7,1.0,True,1,True,0.0,207.654,2930928
two_rows/7_150_0_30Z3625_471_226_519_281.jpg,two_row_car,30Z3625,30Z3625,7,7,1.0,True,2,False,0.0,3863.846,2930928
two_rows_label_xe_may/2_229_0_88K67591_261_12_385_108.jpg,two_row_motorcycle,88K67591,88K67591,8,8,1.0,True,2,False,0.0,4508.277,3349632
one_row/7_4682_1_36D01141_64_200_525_271.jpg,one_row,36D01141,36D01141,8,8,1.0,True,1,True,0.0,777.976,3349632
one_row/5_1960_1_29Z8871_159_173_537_259.jpg,one_row,29Z8871,29Z8871,7,7,1.0,True,1,False,0.0,1291.967,2930928
two_rows/4_676_0_36A40584_128_203_177_261.jpg,two_row_car,36A40584,36A40584,8,8,1.0,True,2,False,0.0,3624.448,3349632
one_row/7_1185_1_36A42959_80_270_181_332.jpg,one_row,36A42959,36A42959,8,8,1.0,True,1,True,0.0,1715.896,3349632
two_rows/1_1929_0_56P8942_112_236_173_308.jpg,two_row_car,56P8942,56P8942,7,7,1.0,True,2,False,0.0,1453.864,2930928
