source,type,expected,predicted,characters,correct_characters,character_accuracy,exact,row_count,perspective_corrected,angle_deg,blur_score,macs_this_plate
one_row/7_3605_1_36A43147_186_242_496_288.jpg,one_row,36A43147,36A43147,8,8,1.0,True,1,True,0.0,1068.448,3349632
one_row/3_1887_1_36A15549_128_220_533_277.jpg,one_row,36A15549,36A15549,8,8,1.0,True,1,False,0.0,1195.881,3349632
one_row/8_1763_1_36C04358_92_235_552_318.jpg,one_row,36C04358,36C04358,8,8,1.0,True,1,False,0.0,940.31,3349632
one_row/9_868_1_36C12951_140_335_227_387.jpg,one_row,36C12951,36C12951,8,8,1.0,True,1,True,0.0,3151.984,3349632
one_row/1_3418_1_36A39051_106_263_475_316.jpg,one_row,36A39051,36A39051,8,8,1.0,True,1,True,0.0,403.926,3349632
two_rows_label_xe_may/5_1017_0_29E240729_351_3_514_143.jpg,two_row_motorcycle,29E240729,29E240729,9,9,1.0,True,2,False,0.0,2446.477,3768336
two_rows_label_xe_may/5_953_0_29M41472_306_16_459_137.jpg,two_row_motorcycle,29M41472,29MA1472,8,7,0.875,False,2,True,0.0,4002.777,3349632
two_rows_label_xe_may/8_2867_0_29c112212_390_172_522_283.jpg,two_row_motorcycle,29C112212,29C112212,9,9,1.0,True,2,False,0.0,2863.416,3768336
one_row/6_3290_1_36C11223_123_228_538_322.jpg,one_row,36C11223,36C11223,8,8,1.0,True,1,True,0.0,429.064,3349632
two_rows/1_292_0_36A05989_133_199_210_279.jpg,two_row_car,36A05989,36A05989,8,8,1.0,True,2,False,0.0,2738.636,3349632
two_rows_label_xe_may/6_1263_0_99H119372_404_139_508_262.jpg,two_row_motorcycle,99H119372,99H119372,9,9,1.0,True,2,False,0.0,4625.094,3768336
one_row/8_1159_1_36A00553_116_251_496_321.jpg,one_row,36A00553,36A00553,8,8,1.0,True,1,True,0.0,2054.494,3349632
one_row/5_2535_1_36A28032_84_203_496_288.jpg,one_row,36A28032,36A28032,8,8,1.0,True,1,True,0.0,1587.783,3349632
two_rows/3_556_0_36A30633_274_252_346_314.jpg,two_row_car,36A30633,36A30633,8,8,1.0,True,2,True,6.52,6856.586,3349632
two_rows_label_xe_may/2_798_0_86l30808_325_100_468_209.jpg,two_row_motorcycle,86L30808,86L30808,8,8,1.0,True,2,True,0.0,1311.814,3349632
two_rows/3_315_0_36A12971_144_208_215_271.jpg,two_row_car,36A12971,36A12971,8,8,1.0,True,2,False,0.0,2340.438,3349632
two_rows/6_681_0_36A28683_409_342_473_411.jpg,two_row_car,36A28683,36A28683,8,8,1.0,True,2,False,0.0,8185.56,3349632
two_rows/1_3865_0_36C14153_150_161_483_312.jpg,two_row_car,36C14153,36C14153,8,8,1.0,True,2,True,0.0,437.255,3349632
two_rows_label_xe_may/4_1149_0_29g141316_298_47_431_155.jpg,two_row_motorcycle,29G141316,122112467,9,1,0.1111111111111111,False,1,True,0.0,11037.776,3768336
one_row/7_2534_1_36A04107_119_176_552_264.jpg,one_row,36A04107,36A04107,8,8,1.0,True,1,True,0.0,460.272,3349632
