class,train_count,train_fraction,validation_count,test_aligned_count
0,1097,0.137125,229,0
1,664,0.083,199,0
2,689,0.086125,208,0
3,1338,0.16725,419,0
4,486,0.06075,170,0
5,361,0.045125,123,0
6,1136,0.142,383,0
7,370,0.04625,121,0
8,388,0.0485,128,0
9,465,0.058125,120,0
A,280,0.035,150,0
B,275,0.034375,23,0
C,275,0.034375,119,0
D,104,0.013,5,0
E,35,0.004375,2,0
F,16,0.002,0,0
G,2,0.00025,1,0
H,13,0.001625,0,0
K,0,0.0,0,0
L,6,0.00075,0,0
M,0,0.0,0,0
N,0,0.0,0,0
P,0,0.0,0,0
S,0,0.0,0,0
T,0,0.0,0,0
U,0,0.0,0,0
V,0,0.0,0,0
X,0,0.0,0,0
Y,0,0.0,0,0
Z,0,0.0,0,0
